UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral,upmkymmene say ha  indicate interest domestic consolidation  ,1
Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,neutral,valmet automotive report net sale eur 85mn operate profit eur 8mn ,1
"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn .",neutral,veidekke  headquarter oslo  norway  scandinavian construction property development group 6350 employee norway  sweden denmark  annual turnover nok16 4 bn ,1
Why not subscribe to the magazine ?,neutral,subscribe magazine ,1
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,neutral,vianor sell tire car truck well range car part provide maintenance service ,1
"With the new arrangement , customer responsibilities will become mainly regional .",neutral,new arrangement  customer responsibility become mainly regional ,1
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",neutral,acquisition wireless modem unit approximately 1100 employee transfer renesas electronics corporation ,1
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",negative,third quarter fiscal 2008 efore swing net loss eur 400000 versus net profit eur 200000 correspond period fiscal 2007 ,0
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",negative,konecranes oyj kcr1v fh fell 55 percent 2051 euro  biggest fall since june ,0
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,negative,operate loss total eur 25mn compare profit eur 63mn correspond period 2005 ,0
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",negative,production level agree producer long time ago  fall consumption lead loss ,0
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,negative,return investment roi wa 41  compare 438  first half 2008 ,0
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",negative,total 165 mn passenger ship journey take place northern baltic sea 2007  slightly 165 mn 2006 ,0
Finnish media group Talentum has issued a profit warning .,negative,finnish medium group talentum ha issue profit warn ,0
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",negative,finnish ship company finnlines  pretax loss total eur 65 mn third quarter 2009  compare profit eur 03 mn third quarter 2008 ,0
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",negative,finland  city forssa ha say pay compensation food industry company hk ruokatalo atrium lye leak tap water occur march 2008 ,0
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative,acando ab  acanb  fell 89 percent 1335 kronor  lowest close since dec 11 ,0
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",negative,accord ceo matti perkonoja parent company hkscan  company performance first quarter 2010 ha remain clearly level correspond period 2009 ,0
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,dilute earn per share  eps  stand eur 025 versus eur 042 ,0
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,negative,finnish automation solution developer cencorp corporation  omx helsinki  cnc1v  issue thursday  18 september  profit warn third quarter 2008 ,0
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative,finnish communication electronics component supplier scanfil oyj tuesday say sale first half 2006 15  lower period year ago ,0
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative,finnish technology company raute corporation  omx helsinki  rutav  issue tuesday  23 september  profit warn financial year 2008 ,0
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,q1 2009  company operate loss total eur 03 mn  compare profit eur 36 mn q1 2008 ,0
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",negative,last year  83 million passenger fly airline  4 percent 2007 ,0
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",negative,loss financial item total eur 97 mn  compare profit eur 13 mn correspond period 2008 ,0
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative,loss period total eur 156 mn compare profit eur 63 mn 2008 ,0
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,negative,operate loss amount eur 09 mn first half 2006 compare profit eur 05 mn first half 2005 ,0
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",negative,operate loss pulp  paper machinery unit wa eur 3mn september 2007  august 2008  compare profit eur 37 mn year earlier ,0
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,operate loss total eur 03 mn compare profit eur 22 mn correspond period 2007 ,0
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",negative,operate loss total eur 08 mn  compare profit eur 05 mn ,0
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,operate loss total eur 127 mn  compare profit eur 177 mn first half 2008 ,0
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative,operate loss total eur 40 mn  compare profit eur 86 mn second quarter 2008 ,0
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative,operate loss total eur 52 mn  compare loss eur 34 mn correspond period 20082009 ,0
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,negative,pretax loss total eur 117mn compare loss eur 65mn correspond period ,0
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,pretax loss total eur 1623 mn compare profit eur 2535 mn 2007 ,0
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",negative,pretax loss total eur 499 mn  compare loss eur 154 mn correspond period 2008 ,0
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",negative,publish sweden operate loss wa eur 11 mn q1 2009  compare profit eur 06 mn year ago ,0
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,company report today operate loss eur0 1 net sale eur4 5 first quarter 2008 ,0
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",negative,cerberus capital management lpbacked print paper maker newpage corp ha post mix secondquarter result  cast cloud plan initial public offer ,0
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",negative,finnish electronics manufacture service em company elcoteq se post net loss 664 mln euro  912 mln first half 2007  compare net profit 71 mln euro  98 mln period 2006 ,0
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,negative,finnish laboratory liquid handle diagnostic test system developer biohit oyj omx helsinki  biobv issue tuesday 3 june profit warn financial year 2008 ,0
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative,finnish retail software developer aldata solution oyj report net loss 117 mln euro  172 mln 2007 versus net profit 25 mln euro  37 mln 2006 ,0
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",negative,finnish textile clothe group marimekko oyj post net profit 799 mln euro  104 mln 2006  compare 84 mln euro  109 mln 2005 ,0
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,januaryjune 2010  dilute loss per share stand eur0 3 versus eur0 1 first half 2009 ,0
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",negative,october  upm report thirdquarter net loss euro86 million  110 million compare net profit euro120 million 2007 ,0
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,negative,operate loss amount eur 07 mn compare profit eur 08 mn second quarter 2005 ,0
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",negative,operate loss nonrecurring item wa eur 09 mn  compare profit eur 115 mn 2008 ,0
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative,operate profit margin wa 83   compare 118  year earlier ,0
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,negative,operate profit wa eur 16 mn 2005 compare eur 59 mn 2004 ,0
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative,operate result show loss eur 29 mn  year  show profit eur 06 mn ,0
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative,salcomp oyj  finnish maker mobile phone charger  monday post eur1 49 million loss second quarter compare 170 million profit period previous year ,0
Scanfil has also issued a profit warning .,negative,scanfil ha also issue profit warn ,0
Scanfil issued a profit warning on 10 April 2006 .,negative,scanfil issue profit warn 10 april 2006 ,0
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",negative,operate loss amount eur 08 mn  compare profit eur 39 mn year earlier ,0
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,negative,real estate company post net loss ó  x201a ¼ 593 million ó  x201a ¼ 021 per share compare net profit ó  x201a ¼ 31 million ó  x201a ¼ 011 per share correspond quarter 2007 ,0
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative,tietoenator wa 113 pct 1838  extend recent low last week secondquarter report  dealer say ,0
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,operate profit exclude restructure cost grow eur 445 million eur 317 million operate profit include restructure cost show even larger growth eur 385 million eur 74 million ,2
"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . ''",positive,china base operation enable u fully leverage resource expertise wireless solution  also strengthen capability offer industryleading product customer china  ,2
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",positive,cost cut measure  produce around eur70m save past nine month  dampen airline loss  finnair say ,2
"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .",positive,consolidate operate profit exclude oneoff item wa eur 306 mn  eur 296 mn year earlier ,2
EBIT excluding non-recurring items was estimated to increase from 2009 .,positive,ebit exclude nonrecurring item wa estimate increase 2009 ,2
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,operate profit exclude nonrecurring item increase 27  eur 819 mn eur 644 mn correspond period 2008 ,2
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,cash flow business operation total eur 04 mn compare negative eur 155 mn first half 2008 ,2
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",positive,cash flow operation total eur 271 mn  compare negative eur 083 mn correspond period 2008 ,2
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,cash flow operation total eur 74 mn  compare negative eur 686 mn second quarter 2008 ,2
"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive,ebit exclude nonrecurring item  total eur 678 mn  eur 381 mn ,2
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",positive,finnish energy company fortum oyj say november 13  2007 wa grant environmental permit build biofuelfired combine heat power chp plant vartan harbor eastern stockholm ,2
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,nokia wa 012 pct 1670 eur kick morning negative territory ,2
"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",positive,return investment wa 50   compare negative 41  2009 ,2
"Thus the method will cut working costs , and will fasten the planning and building processes .",positive,thus method cut work cost  fasten plan build process ,2
"The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral,copy  republication redistribution afx news content  include frame similar mean  expressly prohibit without prior write consent afx news ,1
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",neutral,company report profit 800000 euro  12 mlnon sale varesvuo partner subgroup loss 400000 euro  623000 cause sale program production subsidiary oy filmiteollisuus fine ab ,1
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,extract filtrate high clarity dry filter cake meet require transport moisture limit tmlsfor ore grade ,1
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",neutral,split  number k share 9 540 000 number share 26 885 540 ,1
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",neutral,establish 1987  srv group private finnish construction concern operation finland  baltic country russia ,1
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral,initial estimate total value contract wa 250 000 euro  exclude vat ,1
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,neutral,nokia capcom announce resident evil degeneration release ngage later year ,1
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,neutral,ollipekka laine ha appoint chairman erkki pehulehtonen vice chairman board ,1
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral,risk exposure nonlife insurance  move 12month  expense function nonlife insurance exclude expense investment management expense service render nonlife insurance investment portfolio allocation,1
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .,neutral,issue come connection discussion local municipality concern sale water industrial facility ,1
"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",neutral,purchase price pay cash upon closure transaction  schedule april 1  2009 ,1
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral,term condition stock option scheme 2008 available company internet page wwwsanomacom ,1
"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral,tieto service also use send  process receive material relate absentee vote ,1
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral,trade code  eli1v number share  99483 priceshare  gratuitous transfer  elisa hold total 10435023 share ,1
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral,total 1800000 stock option issue 2003 stock option scheme ,1
Finnish publishing and printing group Ilkka-Yhtym+ñ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,neutral,finnish publish print group ilkkayhtymñ introduce staff smoke ban begin 2007 company three newspaper ,1
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .,neutral,finnish stockmann group mail order unit hobby hall ha launch trial market campaign russia ,1
"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",neutral,alpina sport lebanon  new hampshire usa base distributor eg alpina ski shoe ski  exel ski pole  start ski wax also peltonen crosscountry ski ,1
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",neutral,among scandinavian company present st petersburg  also name swedish concern ncc  implement project field asphalt production  road house construction  project swedish krona  ,1
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,neutral,international conference call audio webcast concern financial result januarymarch 2010 begin 1400 eet ,1
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .,neutral,atrium say offer would give swedish company continue ownership control slaughter cut operation ,1
"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .",neutral,aug 17  2010  curb deliver newstex    latest rack  cover shop retail sidewalk ,1
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,neutral,bertrand sciard ha vice chairman board director aldata solution since april 2007 ,1
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,neutral,bovine slaughter cut kuopio facility transfer kauhajoki slaughterhouse ,1
"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",neutral,huhtamaki rigid plastic consumer good operation  mainly europe  separate new report segment 1 january 2009 ,1
Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 .,neutral,kesko ha previously publish stock exchange release concern deal 7 february 2007 ,1
Less than ten people will face pension agreements .,neutral,le ten people face pension agreement ,1
Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .,neutral,mr kari stadigh carry chairman board mr matti arteva vicechairman ,1
"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",neutral,neste oil refinery combine crude oil refine capacity approximately 260000 barrel day ,1
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral,new chairman board director  mr chaim katzman  give presentation answer question ,1
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,panostaja oyj board also decide organisational meet hold upon completion agm implement agm decision concern board member fee pay share way share transfer quarterly basis date follow publication quarterlyannual report ,1
Rapala Fishing Frenzy 2009 .,neutral,rapala fish frenzy 2009 ,1
Residents access to the block is planned to be from Aleksandri Street .,neutral,resident access block plan aleksandri street ,1
Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .,neutral,sanoma announce stock option scheme 2008 19 december 2008 ,1
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,neutral,shortterm license game cost little  3 purchase game outright cost much  10  15 ,1
The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,neutral,adjustment concern staff specialty paper fiber composite segment ,1
The appointments will be in force until the new CEO has been appointed .,neutral,appointment force new ceo ha appoint ,1
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",neutral,authorisation force end next annual general meet repeal authorisation acquire share give general meet hold april 4  2007 ,1
"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .",neutral,business gross write premium eur152 4   915  2000  net combine ratio 133  175 staff total office uk  germany benelux ,1
"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",neutral,chill meat product category lead meat  fish poultry market finland  account share 314  ,1
"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .",neutral,company ha continuous need alloy nickel  ferrochrome  molybdenum manganese production  say talvivaara ,1
"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .",neutral,contract also include cut edge wagon part ruukki steel service centre seinajoki raahe  southwestern finland  deliver vr weld assembly ,1
"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral,copy  republication redistribution afx news content  inculding frame similar mean  expressly prohibit without prior write consent afx news ,1
"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral,cosmetic collection include eye shadow  face powder  lip gloss  mascara accessory ,1
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",neutral,e7 smartphone available rs35 000 per handset across india   nokia india vicepresident  manage director shivakumar tell reporter ,1
The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral,exercise originate finland early 1930s train method crosscountry skier ,1
"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",neutral,first phase logistics complex envisage completion 70000 sq logistics premise gatehouse build november 2008 ,1
"The gross area of eight houses will be 12,167 m2 .",neutral,gross area eight house 12167 m2 ,1
"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .",neutral,gross area innova 2 project 10000 sq  107600 sq ft  ,1
"The interim report for the first quarter is published on May 8 , 2009 .",neutral,interim report first quarter publish may 8  2009 ,1
"The mill 's raw material need will increase by 100,000 m3 of wood .",neutral,mill raw material need increase 100000 m3 wood ,1
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",neutral,negotiation concern personnel cencorp corporation singulase oy whole finland sweden  company say ,1
The negotiations will concern the plant 's department producing winded roving that employs 10 people .,neutral,negotiation concern plant department produce wind rove employ 10 people ,1
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",neutral,new apartment block go close city center  explain chairman board yit ehitus priit sauk ,1
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",neutral,redesign crush circuit ha operation since start september overall production rate weekly basis excess average 40000 tonne day ,1
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral,scheme teliasonera altimo practically identical  except involve merger stake vimpelcom kyivstar ,1
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,neutral,share subscription period c option commence 1 september 2008 expire 31 march 2011 ,1
The share subscription period will expire on 30 September 2007 .,neutral,share subscription period expire 30 september 2007 ,1
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,neutral,subscription period amer sport  2002 warrant scheme end 31 december 2007 ,1
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,neutral,term condition stock option scheme 2004 available group website ,1
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral,transaction include also transfer lease agreement concern manufacture premise employment agreement relate operation ,1
"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .",neutral,utility also provide service relate electricity management  hedge trade risk management report ,1
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",neutral, try deal slavery different perspective balance story   say deramus  formerly writer detroit free press detroit news ,1
"`` The biggest challenge was to make the piece look raw , '' Hansen said .",neutral, biggest challenge wa make piece look raw   hansen say ,1
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral, license agreement nokia corp part expire april 9  2007 ,1
A 2001 agreement expired earlier this month .,neutral,2001 agreement expire earlier month ,1
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral,split  company would 26885540 series share 9540000 series k share ,1
"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",neutral,boomeranger boat oy specialise boat build design  manufacture sell customise rigid inflatable boat rib primarily baltic sea market ,1
Currently the quarterly applied surcharges differ significantly from the actual market prices .,neutral,currently quarterly apply surcharge differ significantly actual market price ,1
Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .,neutral,filmiteollisuus fine ab transfer talentum oyj form subsidiary ,1
"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",neutral,helsinki afx  salcomp  mobile phone charger manufacturer  say ha appoint markku hangasjarvi new ceo  follow resignation mat eriksson ,1
"HK Ruokatalo produces many turkey products , such as cold cuts .",neutral,hk ruokatalo produce many turkey product  cold cut ,1
"However , the brokers ' ratings on the stock differ .",neutral,however  broker  rat stock differ ,1
Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing .,neutral,mursula say try gather macroeconomic perspective see malaysia wa ,1
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,neutral,niklas skogster ha employ abb group various position concern development operation ,1
The beers differ slightly from mainstream beers .,neutral,beer differ slightly mainstream beer ,1
"The company operates a U.S. division in Lisle , Ill. .",neutral,company operate u division lisle  ill ,1
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",neutral,deal cover stockmann auto oy ab sale aftersales service concern volkswagen audi helsinki  espoo vantaa ,1
"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",neutral,equipment designate bollore africa logistics terminal societe dexploitation du terminal de vridi setv abidjan  ivory coast delivery schedule start march 2010 ,1
"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral,floor area yliopistonrinne project 7900 sq build gross area total 12800 sq total 251  facility let ,1
"The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral,floor area yliopistonrinne project 7900 sq 85030 sq ft build gross area total 12800 sq total 251  facility let ,1
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .,neutral,measure result statutory joint negotiation employee start february concern operation country ,1
"The product range includes marinated olives , cold cuts , and pates , for example .",neutral,product range include marinate olive  cold cut  pate  example ,1
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,neutral,term condition year 2003 stock option scheme publish stock exchange release 31 march 2003 ,1
"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy .",neutral,action follow personnel negotiation concern elcoteq se  finnish branch  elcoteq finland oy elcoteq design center oy ,1
"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars .",neutral,unbelievably  company make  fiskars corporation  wa form 1649 dutch merchant name peter thorwoste wa give charter establish blast furnace forge operation small finnish village fiskars ,1
`` Those uncertainties cloud the long-term outlook . '',negative, uncertainty cloud longterm outlook  ,0
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",negative,20 october 2010  finnish environmental management company lassila  tikanoja oyj hel  lat1v  lt  say monday expect operate profit  exclude nonrecurring item  whole 2010 slightly lower 2009 ,0
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative,accord finnish petrol station chain st1 manage director kim wiio  company wa force make purchase rise price first half 2008  consumer price go almost daily due competition ,0
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,negative,finnair say cancellation flight would cause daily loss  x20ac 25 million u 3 million ,0
